city,timestamp,temperature_c,humidity_percent,condition
Mumbai,2024-01-01 00:00:00,20.1,89,Clear
Mumbai,2024-01-01 01:00:00,21.5,76,Clear
Mumbai,2024-01-01 02:00:00,24.2,65,Clear
Mumbai,2024-01-01 03:00:00,20.4,59,Clear
Mumbai,2024-01-01 04:00:00,25.5,70,Clear
Mumbai,2024-01-01 05:00:00,27.6,74,Clouds
Mumbai,2024-01-01 06:00:00,25.3,84,Fog
Mumbai,2024-01-01 07:00:00,22.4,75,Fog
Mumbai,2024-01-01 08:00:00,29.4,56,Clear
Mumbai,2024-01-01 09:00:00,29.7,68,Rain
Mumbai,2024-01-01 10:00:00,25.6,85,Clear
Mumbai,2024-01-01 11:00:00,25.1,68,Clear
Mumbai,2024-01-01 12:00:00,22.3,70,Clear
Mumbai,2024-01-01 13:00:00,31.4,49,Clear
Mumbai,2024-01-01 14:00:00,22.4,66,Rain
Mumbai,2024-01-01 15:00:00,22.7,54,Clouds
Mumbai,2024-01-01 16:00:00,30.6,57,Clear
Mumbai,2024-01-01 17:00:00,29.1,46,Clouds
Mumbai,2024-01-01 18:00:00,20.0,51,Clouds
Mumbai,2024-01-01 19:00:00,27.4,75,Clear
Mumbai,2024-01-01 20:00:00,28.6,83,Clear
Mumbai,2024-01-01 21:00:00,27.6,53,Clear
Mumbai,2024-01-01 22:00:00,20.9,43,Clear
Mumbai,2024-01-01 23:00:00,29.9,71,Fog
Mumbai,2024-01-02 00:00:00,26.8,74,Clear
Mumbai,2024-01-02 01:00:00,28.9,68,Clear
Mumbai,2024-01-02 02:00:00,24.5,60,Clear
Mumbai,2024-01-02 03:00:00,30.1,73,Rain
Mumbai,2024-01-02 04:00:00,20.1,74,Clear
Mumbai,2024-01-02 05:00:00,28.8,79,Clear
Mumbai,2024-01-02 06:00:00,22.4,63,Clouds
Mumbai,2024-01-02 07:00:00,22.4,61,Clear
Mumbai,2024-01-02 08:00:00,31.1,66,Clouds
Mumbai,2024-01-02 09:00:00,30.6,57,Rain
Mumbai,2024-01-02 10:00:00,24.0,82,Clear
Mumbai,2024-01-02 11:00:00,29.6,71,Clear
Mumbai,2024-01-02 12:00:00,28.7,59,Clouds
Mumbai,2024-01-02 13:00:00,26.6,64,Clouds
Mumbai,2024-01-02 14:00:00,24.3,88,Clear
Mumbai,2024-01-02 15:00:00,21.1,52,Clear
Mumbai,2024-01-02 16:00:00,21.2,87,Clear
Mumbai,2024-01-02 17:00:00,28.7,77,Rain
Mumbai,2024-01-02 18:00:00,31.1,47,Clear
Mumbai,2024-01-02 19:00:00,20.0,57,Clear
Mumbai,2024-01-02 20:00:00,28.5,54,Clear
Mumbai,2024-01-02 21:00:00,32.0,53,Rain
Mumbai,2024-01-02 22:00:00,30.2,60,Clear
Mumbai,2024-01-02 23:00:00,25.2,62,Clear
Mumbai,2024-01-03 00:00:00,21.9,71,Clouds
Mumbai,2024-01-03 01:00:00,30.6,75,Clouds
Mumbai,2024-01-03 02:00:00,25.2,66,Clear
Mumbai,2024-01-03 03:00:00,24.1,76,Clear
Mumbai,2024-01-03 04:00:00,23.2,44,Clouds
Mumbai,2024-01-03 05:00:00,31.4,58,Clear
Mumbai,2024-01-03 06:00:00,22.9,87,Clouds
Mumbai,2024-01-03 07:00:00,30.0,40,Clouds
Mumbai,2024-01-03 08:00:00,30.5,79,Rain
Mumbai,2024-01-03 09:00:00,27.1,65,Storm
Mumbai,2024-01-03 10:00:00,24.3,85,Clear
Mumbai,2024-01-03 11:00:00,28.9,72,Clear
Mumbai,2024-01-03 12:00:00,24.4,74,Clear
Mumbai,2024-01-03 13:00:00,28.4,78,Rain
Mumbai,2024-01-03 14:00:00,22.6,40,Clear
Mumbai,2024-01-03 15:00:00,28.7,55,Rain
